time,prec,temp
31/10/06,null,null
30/11/06,164,26.897114
31/12/06,119.2,27.311816
31/01/07,225.2,26.881925
28/02/07,166.8,26.952233
31/03/07,95.2,27.206107
30/04/07,84.4,26.067089
31/05/07,82,21.113581
30/06/07,0.2,20.719897
31/07/07,54.4,19.861262
31/08/07,0.4,21.263611
30/09/07,1.2,27.9225
31/10/07,62.6,27.837307
30/11/07,175.4,27.169109
31/12/07,197.6,26.771102
31/01/08,411.8,26.542748
29/02/08,77.2,26.581399
31/03/08,120.6,26.3643
30/04/08,31.8,24.627424
31/05/08,null,22.18428
30/06/08,null,20.551765
31/07/08,4.8,22.715202
31/08/08,42.6,24.246695
30/09/08,22.8,24.339352
31/10/08,78,27.34172
30/11/08,130.2,27.383243
31/12/08,91.4,27.793548
31/01/09,217,26.40862
28/02/09,63.4,27.055546
31/03/09,126.4,27.260484
30/04/09,3.2,26.006944
31/05/09,42.4,23.767339
30/06/09,79.4,20.194583
31/07/09,76.4,21.659878
31/08/09,138.8,22.700134
30/09/09,23,24.460494
31/10/09,153,26.525862
30/11/09,91.2,28.342778
31/12/09,292.8,27.34125
31/01/10,309.8,27.129888
28/02/10,83.2,27.989583
31/03/10,117,27.464382
30/04/10,21.4,25.119028
31/05/10,120,20.232564
30/06/10,4.8,21.784028
31/07/10,null,21.499882
31/08/10,0,22.325103
30/09/10,58.8,25.929217
31/10/10,119.4,25.383459
30/11/10,203.6,25.153617
31/12/10,95,27.846893
31/01/11,351.4,26.672205
28/02/11,null,26.416696
31/03/11,null,25.724155
30/04/11,null,25.175713
31/05/11,4.6,21.59035
30/06/11,null,20.587591
31/07/11,23.6,21.613172
31/08/11,19.2,23.00793
30/09/11,67.6,25.752361
31/10/11,160.8,26.723118
30/11/11,82.2,27.082083
31/12/11,79.8,27.623387
31/01/12,null,27.323315
29/02/12,null,26.958336
31/03/12,145.8,25.939761
30/04/12,104.8,25.325
31/05/12,35,22.501613
30/06/12,187.4,21.002639
31/07/12,10.2,19.780645
31/08/12,0.2,24.174167
30/09/12,90.4,26.458216
31/10/12,134.4,27.601478
30/11/12,102.8,27.683194
31/12/12,113.6,28.47164
31/01/13,59.2,28.131855
28/02/13,127,27.129613
31/03/13,107.6,27.120402
30/04/13,281.8,24.037917
31/05/13,63.6,23.152285
30/06/13,177.2,21.721162
31/07/13,48.4,20.339113
31/08/13,0.2,20.136156
30/09/13,39.4,24.760278
31/10/13,87,26.273387
30/11/13,147.2,27.842065
31/12/13,117.6,27.806896
31/01/14,233,26.709052
28/02/14,null,null
31/03/14,null,null
30/04/14,null,null
31/05/14,null,null
30/06/14,null,null
31/07/14,null,null
31/08/14,null,null
30/09/14,null,null
31/10/14,null,null
30/11/14,null,25.615079
31/12/14,204.4,27.111021
31/01/15,58.6,28.148357
28/02/15,null,27.26
31/03/15,49,26.7462
30/04/15,75.6,25.805139
31/05/15,95.4,23.118959
30/06/15,null,null
31/07/15,null,null
31/08/15,0.8,24.868548
30/09/15,157.4,26.028333
31/10/15,57.4,27.239785
30/11/15,224,27.625
31/12/15,157.2,27.709946
31/01/16,308.4,26.888575
29/02/16,211.4,27.568822
31/03/16,173.8,26.30336
30/04/16,74,26.181528
31/05/16,130.8,21.527688
30/06/16,8,19.66358
31/07/16,0,20.896909
31/08/16,null,22.527419
30/09/16,null,23.157421
31/10/16,null,26.531048
30/11/16,60.2,26.937356
31/12/16,162,27.020161
31/01/17,86.6,27.416398
28/02/17,146.4,27.318006
31/03/17,138.8,27.082258
30/04/17,199.6,24.670141
31/05/17,91.2,25.136889
30/06/17,null,null
31/07/17,null,null
31/08/17,null,26.402222
30/09/17,null,null
31/10/17,199.2,26.622177
30/11/17,263.6,26.338611
31/12/17,210.2,27.058468
31/01/18,251.8,26.794624
28/02/18,265.4,26.395536
31/03/18,98.4,27.205914
30/04/18,96.6,25.709583
31/05/18,67.2,22.969879
30/06/18,null,21.03913
31/07/18,0,20.746537
31/08/18,null,null
30/09/18,null,null
31/10/18,null,null
30/11/18,null,null
31/12/18,null,null
31/01/19,null,null
28/02/19,null,null
31/03/19,null,26.816013
30/04/19,null,null
31/05/19,null,null
30/06/19,null,22.864881
31/07/19,null,19.667892
31/08/19,null,22.733055
30/09/19,null,26.969722
31/10/19,null,null
30/11/19,null,null
31/12/19,null,26.504167
31/01/20,null,null
29/02/20,null,null
31/03/20,null,null
30/04/20,null,null
31/05/20,null,null
30/06/20,null,null
31/07/20,null,null
31/08/20,null,null
30/09/20,null,null
31/10/20,null,null
30/11/20,null,null
31/12/20,null,null
31/01/21,null,null
28/02/21,null,null
31/03/21,null,null
30/04/21,null,null
31/05/21,null,null
30/06/21,null,null
31/07/21,null,null
31/08/21,null,null
30/09/21,null,null
31/10/21,null,null
30/11/21,null,null
31/12/21,null,null
