time;prec;;;;;;;;;
30/04/2018;null;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3
31/05/2018;22,4;;2018;594,6;505,1;89,5;;;;
30/06/2018;null;;2019;415,6;;-89,5;;;;
31/07/2018;null;;2020;0;;;;;;
31/08/2018;39,8;;2021;0;;;;;;
30/09/2018;88,4;;;;;;;;;
31/10/2018;246;;;;;;;;;
30/11/2018;104;;;;;;;;;
31/12/2018;94;;;;;;;;;
31/01/2019;57,6;;;;;;;;;
28/02/2019;115,2;;;;;;;;;
31/03/2019;134;;;;;;;;;
30/04/2019;53,2;;;;;;;;;
31/05/2019;41;;;;;;;;;
30/06/2019;14,6;;;;;;;;;
31/07/2019;null;;;;;;;;;
31/08/2019;null;;;;;;;;;
30/09/2019;null;;;;;;;y;;
31/10/2019;null;;;;;;;;;
30/11/2019;null;;;;;;;;;
31/12/2019;null;;;;;;;;;
31/01/2020;null;;;;;;;;;
29/02/2020;null;;;;;;;;;
31/03/2020;null;;;;;;;;;
30/04/2020;null;;;;;;;;;
31/05/2020;null;;;;;;;;;
30/06/2020;null;;;;;;;;;
31/07/2020;null;;;;;;;;;
31/08/2020;null;;;;;;;;;
30/09/2020;null;;;;;;;;;
31/10/2020;null;;;;;;;;;
30/11/2020;null;;;;;;;;;
31/12/2020;null;;;;;;;;;
31/01/2021;null;;;;;;;;;
28/02/2021;null;;;;;;;;;
31/03/2021;null;;;;;;;;;
30/04/2021;null;;;;;;;;;
31/05/2021;null;;;;;;;;;
30/06/2021;null;;;;;;;;;
31/07/2021;null;;;;;;;;;
31/08/2021;null;;;;;;;;;
30/09/2021;null;;;;;;;;;
31/10/2021;null;;;;;;;;;
30/11/2021;null;;;;;;;;;
31/12/2021;null;;;;;;;;;
