;prec;temp;;;;;;;;;
1;126,2;26.947.984;;;;prec;temp;;;;
1;null;26.684.899;;;Jan;156,4;26.837.589;;;;
1;159,6;26.356.048;;;Fev;130,8;26.544.731;;;;
1;89;26.964.423;;;Mar;169,2;20.280.501;;;;
1;266,8;26.571.237;;;Abr;137,1;20.987.713;;;;
1;114,4;26.842.876;;;Mai;153,6285714;20.780.356;;;;
1;297,2;25.931.855;;;Jun;108,1714286;17.025.773;;;;
1;78,6;28.020.296;;;Jul;49,775;14.423.006;;;;
1;119,4;27.218.683;;;Ago;19,91428571;20.959.274;;;;
1;null;null;;;Set;80,35;20.962.085;;;;
2;144,8;26.105.172;;;Out;135,1;25.503.337;;;;
2;null;26.822.768;;;Nov;166,5428571;20.723.390;;;;
2;131,8;26.069.345;;;Dez;200,3;26.523.372;;;;
2;113,4;26.767.262;;;;;;;;;
2;248,4;26.784.626;;;;;;;;;
2;49,6;26.754.613;;;;;;;;;
2;null;26.165.365;;;;;;;;;
2;96,8;26.851.339;;;;;;;;;
2;null;27.273.563;;;;;;;;;
2;null;25.853.256;;;;;;;;;
3;177,6;24.369.086;;;;;;;;;
3;null;26.241.092;;;;;;;;;
3;165,2;24.948.253;;;;;;;;;
3;104,4;25.108.333;;;;;;;;;
3;125,6;24.622.715;;;;;;;;;
3;null;25.963.306;;;;;;;;;
3;null;null;;;;;;;;;
3;273,2;2.584.543;;;;;;;;;
3;null;2.671.707;;;;;;;;;
3;null;26.015.473;;;;;;;;;
4;133,6;23.368.472;;;;;;;;;
4;0;22.396.661;;;;;;;;;
4;186,2;23.919.583;;;;;;;;;
4;227;24.268.194;;;;;;;;;
4;66;24.896.389;;;;;;;;;
4;null;22.737.222;;;;;;;;;
4;null;24.594.722;;;;;;;;;
4;209,8;23,99;;;;;;;;;
4;null;22.708.146;;;;;;;;;
4;null;null;;;;;;;;;
5;146,6;20.632.527;;;;;;;;;
5;165,4;21.108.871;;;;;;;;;
5;212,6;19.844.624;;;;;;;;;
5;194,6;21.389.247;;;;;;;;;
5;174,4;18.885.215;;;;;;;;;
5;null;22.491.667;;;;;;;;;
5;80;21.460.132;;;;;;;;;
5;101,8;21.856.452;;;;;;;;;
5;null;19.354.469;;;;;;;;;
5;null;null;;;;;;;;;
6;226;19.050.012;;;;;;;;;
6;219,2;19.788.599;;;;;;;;;
6;120,8;2.029.375;;;;;;;;;
6;97;20.860.417;;;;;;;;;
6;17,6;16.317.361;;;;;;;;;
6;null;19.296.389;;;;;;;;;
6;37,2;17.954.167;;;;;;;;;
6;39,4;20.909.861;;;;;;;;;
6;null;null;;;;;;;;;
6;null;null;;;;;;;;;
7;20,2;17.598.253;;;;;;;;;
7;31,4;1.833.871;;;;;;;;;
7;109;19.104.704;;;;;;;;;
7;147,8;19.672.581;;;;;;;;;
7;24,4;19.135.484;;;;;;;;;
7;0;18.404.839;;;;;;;;;
7;2,2;1.885.793;;;;;;;;;
7;63,2;17.748.521;;;;;;;;;
7;null;null;;;;;;;;;
7;null;null;;;;;;;;;
8;null;21.998.016;;;;;;;;;
8;17,8;21.727.862;;;;;;;;;
8;0,6;17.921.102;;;;;;;;;
8;23,6;21.590.457;;;;;;;;;
8;5,6;23.079.301;;;;;;;;;
8;52,6;20.686.758;;;;;;;;;
8;null;22.791.532;;;;;;;;;
8;37,6;18.132.392;;;;;;;;;
8;1,6;20.706.048;;;;;;;;;
8;null;null;;;;;;;;;
8;null;null;;;;;;;;;
9;63,6;22.359.167;;;;;;;;;
9;39,6;24.139.583;;;;;;;;;
9;59;22.589.861;;;;;;;;;
9;107,4;25.539.167;;;;;;;;;
9;150,2;24.334.306;;;;;;;;;
9;null;21.008.906;;;;;;;;;
9;21,4;24.485.278;;;;;;;;;
9;170,2;21.749.028;;;;;;;;;
9;31,4;2.453.471;;;;;;;;;
9;null;null;;;;;;;;;
9;null;null;;;;;;;;;
10;117,8;24.882.796;;;;;;;;;
10;88,4;26.491.935;;;;;;;;;
10;209,6;24.035.349;;;;;;;;;
10;null;27.253.159;;;;;;;;;
10;148,8;25.513.844;;;;;;;;;
10;135,8;24.635.657;;;;;;;;;
10;172,6;25.311.828;;;;;;;;;
10;124,2;25.304.032;;;;;;;;;
10;83,6;26.101.437;;;;;;;;;
10;null;null;;;;;;;;;
10;null;null;;;;;;;;;
11;193,8;25.070.139;;;;;;;;;
11;0;26.208.889;;;;;;;;;
11;221,4;26.106.806;;;;;;;;;
11;null;25.028.908;;;;;;;;;
11;245,6;26.193.056;;;;;;;;;
11;null;25.087.633;;;;;;;;;
11;216;2.505.875;;;;;;;;;
11;165;2.567.125;;;;;;;;;
11;124;27.742.083;;;;;;;;;
11;null;null;;;;;;;;;
11;null;null;;;;;;;;;
12;49,4;26.062.634;;;;;;;;;
12;null;27.646.102;;;;;;;;;
12;161,6;27.035.215;;;;;;;;;
12;208,6;26.538.307;;;;;;;;;
12;268,8;26.925.134;;;;;;;;;
12;319,8;25.955.108;;;;;;;;;
12;276,6;26.285.081;;;;;;;;;
12;130,8;26.439.516;;;;;;;;;
12;186,8;25.823.253;;;;;;;;;
12;null;null;;;;;;;;;
12;null;null;;;;;;;;;
