time;prec;temp;;;;time;prec;temp
1;null;null;;;;Jan;226,05;25658975
1;null;null;;;;Fev;185,5333333;25514958,2
1;null;null;;;;Mar;145,24;22.939.112
1;269;24.380.645;;;;Abr;70,08;22.311.743
1;329,6;25.495.565;;;;Mai;76,8;21.829.567
1;74,8;25.633.199;;;;Jun;28,12;19.433.910
1;82,2;27.222.376;;;;Jul;17,25454545;19.208.044
1;187,6;25.804.839;;;;Ago;9,036363636;19.417.781
1;513,4;24.667.473;;;;Set;30,225;23.364.112
1;243,2;25.292.876;;;;Out;86,62857143;23695453,56
1;108,6;26.604.704;;;;Nov;211,075;23305261,55
1;null;26.242.776;;;;Dez;245,5;25760147,8
1;null;25.245.297;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;null;null;;;;;;
2;187,8;25.616.954;;;;;;
2;190,8;24.847.024;;;;;;
2;126,6;25.612.649;;;;;;
2;226,6;25.365.923;;;;;;
2;null;26.236.925;;;;;;
2;151;25.877.679;;;;;;
2;165,2;25.229.911;;;;;;
2;138;25.872.638;;;;;;
2;417,2;25.279.042;;;;;;
2;66,6;25.210.837;;;;;;
3;null;24.517.391;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;null;null;;;;;;
3;201;24.934.409;;;;;;
3;213,8;25.283.477;;;;;;
3;220,8;24.727.823;;;;;;
3;146,2;24.419.086;;;;;;
3;21,8;26.049.059;;;;;;
3;167,2;257.134;;;;;;
3;109,4;26.485.887;;;;;;
3;83,6;25.318.817;;;;;;
3;190;25.476.848;;;;;;
3;98,6;24.860.297;;;;;;
4;null;24.238.351;;;;;;
4;null;null;;;;;;
4;null;null;;;;;;
4;103,8;23.973.563;;;;;;
4;59;24.406.945;;;;;;
4;106,2;23.086.111;;;;;;
4;74,6;24.981.667;;;;;;
4;36,6;25.175;;;;;;
4;16,8;25.491.111;;;;;;
4;47,2;24.707.395;;;;;;
4;49;24.120.677;;;;;;
4;148,2;24.998.889;;;;;;
4;59,4;24.128.333;;;;;;
4;null;23.582.699;;;;;;
5;null;20.898.466;;;;;;
5;null;22.197.609;;;;;;
5;null;null;;;;;;
5;7,8;21.260.618;;;;;;
5;129,2;20.864.241;;;;;;
5;15,4;22.483.468;;;;;;
5;65,4;21.547.446;;;;;;
5;112;22.276.344;;;;;;
5;null;21.533.871;;;;;;
5;133,2;23.687.732;;;;;;
5;null;22.066.561;;;;;;
5;132,8;22.870.833;;;;;;
5;18,6;20.048.253;;;;;;
5;null;22.048.925;;;;;;
6;0;21.085.454;;;;;;
6;null;20.143.511;;;;;;
6;null;21.422.685;;;;;;
6;37,4;19.665.139;;;;;;
6;134,2;20.999.028;;;;;;
6;30,6;2.236.971;;;;;;
6;9,2;21.241.944;;;;;;
6;32,8;21.122.917;;;;;;
6;27;19.672.083;;;;;;
6;0,4;21.159.568;;;;;;
6;null;null;;;;;;
6;1,6;21.011.806;;;;;;
6;8;22.082.917;;;;;;
6;null;20.796.806;;;;;;
7;0;21.145.505;;;;;;
7;null;null;;;;;;
7;0,4;22.046.014;;;;;;
7;1,6;21.687.231;;;;;;
7;4,6;1.979.879;;;;;;
7;8,8;19.904.973;;;;;;
7;103,2;20.686.559;;;;;;
7;70,2;21.691.263;;;;;;
7;0,4;20.894.086;;;;;;
7;0;19.574.722;;;;;;
7;null;null;;;;;;
7;0,6;20.602.285;;;;;;
7;0;21.688.038;;;;;;
7;null;18.595.968;;;;;;
8;4,4;23.572.763;;;;;;
8;null;null;;;;;;
8;0;22.411.781;;;;;;
8;6;23.313.307;;;;;;
8;0;22.825.139;;;;;;
8;0;21.542.473;;;;;;
8;0;22.964.113;;;;;;
8;25,8;2.296.586;;;;;;
8;15,4;2.240.625;;;;;;
8;0;23.055.992;;;;;;
8;null;null;;;;;;
8;40,6;22.915.323;;;;;;
8;7,2;22.603.226;;;;;;
8;null;23.272.043;;;;;;
9;0,2;24.588.561;;;;;;
9;null;null;;;;;;
9;null;null;;;;;;
9;10,4;257.538;;;;;;
9;56,4;25.362.222;;;;;;
9;50,4;24.603.194;;;;;;
9;44,6;25.302.778;;;;;;
9;58,6;25.320.972;;;;;;
9;20,6;23.756.399;;;;;;
9;0,6;26.201.293;;;;;;
9;null;null;;;;;;
9;null;27.060.806;;;;;;
9;null;27.113.333;;;;;;
9;null;27.438.134;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;null;null;;;;;;
10;148,6;24.948.118;;;;;;
10;32,4;27.080.376;;;;;;
10;133,6;25.300.941;;;;;;
10;46,6;26.377.957;;;;;;
10;52,6;2.703.172;;;;;;
10;null;null;;;;;;
10;85,4;26.818.103;;;;;;
10;null;null;;;;;;
10;null;27.234.775;;;;;;
10;107,2;27.806.787;;;;;;
10;null;24.988.853;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;null;null;;;;;;
11;117,8;25,1;;;;;;
11;195,8;25.959.444;;;;;;
11;122;25.600.972;;;;;;
11;197,8;24.969.167;;;;;;
11;277;25.786.528;;;;;;
11;null;25.192.361;;;;;;
11;317;25.122.873;;;;;;
11;340,2;25.003.056;;;;;;
11;121;25.902.712;;;;;;
11;null;26.627.225;;;;;;
11;null;26.193.514;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;null;null;;;;;;
12;162,8;25.816.129;;;;;;
12;214;26.396.102;;;;;;
12;155,8;26.179.032;;;;;;
12;159,8;25.112.769;;;;;;
12;321;25.438.038;;;;;;
12;269,2;25.456.183;;;;;;
12;328,6;25.480.955;;;;;;
12;155,8;26.411.559;;;;;;
12;339,8;25.562.103;;;;;;
12;348,2;25.748.608;;;;;;
12;null;null;;;;;;
