time;prec;temp;;;;;;;
1;146,2;25.991.398;;;;time;prec;temp;
1;null;null;;;;Jan;146,2;25.991.398;
1;null;null;;;;Fev;167,2;25.004.464;
2;167,2;25.004.464;;;;Mar;249,4;24.518.548;
2;null;null;;;;Abr;83,4;23.178.745;
2;null;null;;;;Mai;84,5;11.021.519;
3;249,4;24.518.548;;;;Jun;33,5;18.287.639;
3;null;null;;;;Jul;17,4;17.760.186;
3;null;null;;;;Ago;35,2;18.568.414;
4;null;23.561.795;;;;Set;207,6;22.158.790;
4;83,4;22.795.694;;;;Out;344,4;23.579.704;
4;null;null;;;;Nov;181,4;23.872.778;
4;null;null;;;;Dez;#DIV/0!;13.654.033;
5;80,4;19.978.495;;;;;;;
5;88,6;2.064.543;;;;;;;
5;null;null;;;;;;;
5;null;null;;;;;;;
6;22,6;17.090.556;;;;;;;
6;44,4;19.484.722;;;;;;;
6;null;null;;;;;;;
6;null;null;;;;;;;
7;2,6;18.559.812;;;;;;;
7;32,2;16.960.559;;;;;;;
7;null;null;;;;;;;
7;null;null;;;;;;;
8;62,6;17.397.581;;;;;;;
8;7,8;19.739.247;;;;;;;
8;null;null;;;;;;;
8;null;null;;;;;;;
9;207,6;20.525.278;;;;;;;
9;null;23.792.301;;;;;;;
9;null;null;;;;;;;
9;null;null;;;;;;;
10;344,4;23.579.704;;;;;;;
10;null;null;;;;;;;
10;null;null;;;;;;;
10;null;null;;;;;;;
11;181,4;23.872.778;;;;;;;
11;null;null;;;;;;;
11;null;null;;;;;;;
11;null;null;;;;;;;
12;null;24.699.572;;;;;;;
12;null;null;;;;;;;
12;null;null;;;;;;;
12;null;2.608.493;;;;;;;
